TV_ID,Dialogue_ID,Utterance_ID,Speaker,Gender,Age,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Scene,FacePosition_LU,FacePosition_RD,Sentiment,Emotion,DA,Utterance
37,37_038,37_038_012,刘梅,female,middle-aged,high,high,low,high,high,home,310_55,485_288,negative,anger,statement-opinion,弄走我不管
28,28_230,28_230_005,胡一菲,female,young,low,high,low,low,high,home,226_35,339_178,negative,worried,statement-opinion,这件事情不能告诉他
28,28_209,28_209_001,关谷神奇,male,young,high,low,high,high,high,home,456_97,638_338,negative,anger,question,有什么了不起的
27,27_532,27_532_011,吕子乔,male,young,low,high,high,high,low,home,0_0,0_0,negative,astonished,question,八千
30,30_162,30_162_006,吕子乔,male,young,low,high,high,high,low,entertainment-venue,0_0,0_0,negative,depress,question,懂了 你是想让叔叔帮你写吧
36,36_163,36_163_000,夏东海,male,middle-aged,low,high,high,high,high,home,295_116,400_246,negative,negative-other,statement-opinion,我看完这点资料
30,30_169,30_169_007,关谷神奇,male,young,high,low,high,high,high,home,0_0,0_0,negative,astonished,statement-opinion,星座不合
27,27_089,27_089_000,陆展博,female,young,high,low,high,high,high,home,0_0,0_0,negative,worried,question,傻姑娘
36,36_047,36_047_002,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,320_39,495_243,negative,negative-other,statement-non-opinion,有一回我发烧生病了
36,36_002,36_002_005,刘梅,female,middle-aged,high,high,low,high,high,home,331_42,509_279,negative,depress,statement-opinion,菜也白炒了
29,29_063,29_063_006,胡一菲,female,young,low,high,low,low,high,entertainment-venue,424_84,589_258,negative,negative-other,statement-non-opinion,他也没说喜欢子乔
29,29_067,29_067_002,唐悠悠,female,young,high,high,high,high,high,restaurant,383_52,510_197,negative,worried,question,美佳你怎么了
34,34_241,34_241_012,邓小可母亲,female,elderly,high,high,low,high,high,home,0_0,0_0,negative,anger,question,我是你妈呀 我怎么叫掺和呢
31,31_012,31_012_011,咖喱酱,female,young,low,high,high,high,low,outdoor,497_135,620_266,negative,sadness,statement-non-opinion,我就是来这儿跟它道个别
29,29_385,29_385_001,曾小贤,male,young,high,high,low,high,low,office,268_22,536_319,negative,anger,statement-non-opinion,容不得任何第三者的沙图诺兰
28,28_075,28_075_001,曾小贤,male,young,high,high,low,high,low,office,405_20,620_308,negative,sadness,question,感情问题吗
37,37_155,37_155_003,刘梅,female,middle-aged,high,high,low,high,high,school,0_0,0_0,negative,anger,question,我高兴得起来吗
30,30_114,30_114_006,陆展博,male,young,high,low,high,high,high,home,542_219,605_288,negative,depress,statement-opinion,我还差得太远了
29,29_010,29_010_017,关谷神奇,male,young,high,low,high,high,high,entertainment-venue,202_8,426_269,negative,negative-other,statement-non-opinion,你跟子乔玩
35,35_072,35_072_014,刘梅,female,middle-aged,high,high,low,high,high,home,466_122,604_262,negative,fear,statement-non-opinion,母老鼠都长得比较瘦小
27,27_119,27_119_005,曾小贤,male,young,high,high,low,high,low,home,0_0,0_0,negative,astonished,question,你去钓鱼了
30,30_196,30_196_015,关谷神奇,male,young,high,low,high,high,high,home,450_121,548_255,negative,astonished,disagreement,他儿子 胡说
35,35_033,35_033_007,夏东海,male,middle-aged,low,high,high,high,high,home,347_36,506_239,negative,worried,statement-opinion,摆在你的床头上
34,34_355,34_355_008,邓小可母亲,female,elderly,high,high,low,high,high,home,461_29,716_317,negative,anger,question,摇身一变是吧
29,29_420,29_420_000,曾小贤,male,young,high,high,low,high,low,home,180_28,321_199,negative,anger,statement-non-opinion,我要投诉你
37,37_034,37_034_002,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,286_96,366_198,negative,fear,reject,我把地扫了
29,29_320,29_320_008,关谷神奇,male,young,high,low,high,high,high,home,0_0,0_0,negative,depress,statement-non-opinion,我要热水热水
28,28_187,28_187_004,吕子乔,male,young,low,high,high,high,low,restaurant,0_0,0_0,negative,worried,statement-opinion,我知道你想说什么
28,28_181,28_181_007,吕子乔,male,young,low,high,high,high,low,home,207_30,393_258,negative,worried,statement-opinion,而你也从来没有做过小三
31,31_197,31_197_000,咖喱酱,female,young,low,high,high,high,low,home,240_98,325_210,negative,anger,statement-non-opinion,我在鞋垫下面塞了一封信
31,31_126,31_126_002,陈美嘉,female,young,high,high,low,high,low,other-venue,429_100,512_211,negative,anger,statement-non-opinion,你每天不知道在混什么
29,29_416,29_416_001,曾小贤,male,young,high,high,low,high,low,home,558_15,671_149,negative,anger,statement-non-opinion,你这个奸商你居然忽悠我
29,29_367,29_367_005,吕子乔,male,young,low,high,high,high,low,outdoor,523_31,709_261,negative,negative-other,statement-non-opinion,慢着
28,28_134,28_134_012,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,0_0,0_0,negative,sadness,statement-opinion,如果你40岁的时候还没有结婚
29,29_147,29_147_003,陈美嘉,female,young,high,high,low,high,low,school,149_30,370_249,negative,negative-other,statement-non-opinion,别以为世界抛弃了你
37,37_060,37_060_007,夏雨,male,teenager,high,low,high,high,low,home,430_88,573_265,negative,anger,statement-opinion,你不说话没人把你当成哑巴
36,36_115,36_115_012,刘星,male,teenager,high,high,high,high,low,home,0_0,0_0,negative,fear,question,您甭管了
35,35_157,35_157_001,刘梅,female,middle-aged,high,high,low,high,high,home,263_19,469_287,negative,disgust,answer,成葛优啊
37,37_139,37_139_004,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,outdoor,278_43,440_298,negative,depress,statement-non-opinion,都是淘淘踢人家
37,37_006,37_006_017,刘梅,female,middle-aged,high,high,low,high,high,home,408_41,587_256,negative,depress,statement-opinion,可是因为我们家生活太穷
34,34_124,34_124_014,邓小可母亲,female,elderly,high,high,low,high,high,home,232_116,377_292,negative,negative-other,statement-non-opinion,我今天去见了那个 就总找你买药的那个 挺胖的那个女的
37,37_219,37_219_014,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,200_82,299_198,negative,depress,statement-non-opinion,只要咱们全小区的家长不上咱家门口游行了
34,34_204,34_204_000,魏山山,female,young,low,low,high,high,high,outdoor,0_0,0_0,negative,anger,disagreement,鬼才信呢
37,37_070,37_070_011,夏雨,male,teenager,high,low,high,high,low,home,0_0,0_0,negative,depress,statement-opinion,我是淘淘欺人太甚
35,35_090,35_090_000,刘星,male,teenager,high,high,high,high,low,home,202_120,322_248,negative,depress,other,老爸
28,28_053,28_053_003,唐悠悠,female,young,high,high,high,high,high,home,200_23,344_197,negative,depress,statement-non-opinion,还吃了过期的巧克力
27,27_460,27_460_002,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,454_28,642_228,negative,disgust,statement-opinion,别那么小心眼儿
29,29_370,29_370_005,陆展博,male,young,high,low,high,high,high,outdoor,273_31,425_152,negative,anger,statement-non-opinion,都怪你
27,27_381,27_381_006,陆展博,female,young,high,low,high,high,high,office,163_85,413_356,negative,depress,statement-non-opinion,你是海归硕士
27,27_251,27_251_004,陆展博,female,young,high,low,high,high,high,home,402_33,524_175,negative,astonished,question,可我心眼什么时候丢的
29,29_259,29_259_005,关谷神奇,male,young,high,low,high,high,high,other-venue,387_75,571_265,negative,anger,statement-non-opinion,你要是再拦我 我分分钟切腹给你看
35,35_007,35_007_004,刘梅,female,middle-aged,high,high,low,high,high,home,354_20,544_249,negative,worried,statement-non-opinion,我有点心跳过速
28,28_109,28_109_004,吕子乔,male,young,low,high,high,high,low,home,217_47,421_297,negative,sadness,question,你刚才为什么不早说
34,34_142,34_142_003,邓小可母亲,female,elderly,high,high,low,high,high,home,0_0,0_0,negative,worried,statement-non-opinion,这女孩什么都敢想敢做
28,28_026,28_026_000,吕子乔,male,young,low,high,high,high,low,home,368_76,499_279,negative,astonished,question,打嗝
34,34_240,34_240_002,邓小可母亲,female,elderly,high,high,low,high,high,home,0_0,0_0,negative,depress,statement-non-opinion,远在天边
34,34_325,34_325_005,魏山山,female,young,low,low,high,high,high,home,0_0,0_0,negative,negative-other,statement-non-opinion,不是那么回事
27,27_540,27_540_004,陈美嘉,female,young,high,high,low,high,low,home,571_88,788_380,negative,negative-other,statement-opinion,我就告诉你一个人
29,29_131,29_131_005,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,entertainment-venue,225_10,450_276,negative,anger,statement-non-opinion,一夜之间吧台少了86瓶百加得
27,27_463,27_463_015,曾小贤,male,young,high,high,low,high,low,home,204_27,418_295,negative,negative-other,statement-opinion,可是另外一个对我说
27,27_416,27_416_004,关谷神奇,male,young,high,low,high,high,high,home,370_21,568_259,negative,negative-other,irony,恭喜你
29,29_425,29_425_007,胡一菲,female,young,low,high,low,low,high,home,179_29,370_258,negative,anger,question,这都能凑热闹
36,36_021,36_021_001,刘星,male,teenager,high,high,high,high,low,home,264_38,515_290,negative,anger,question,今天是什么日子
31,31_057,31_057_001,吕子乔,male,young,low,high,high,high,low,home,503_68,567_158,negative,depress,statement-non-opinion,西装太娇贵了
30,30_093,30_093_004,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,restaurant,232_34,386_228,negative,depress,statement-non-opinion,周日原地旋转赛
35,35_229,35_229_002,刘梅,female,middle-aged,high,high,low,high,high,home,240_78,349_195,negative,depress,statement-non-opinion,从锅碗瓢盆到茶杯、茶壶、折叠椅、营养品
27,27_535,27_535_010,陈美嘉,female,young,high,high,low,high,low,home,291_27,545_281,negative,anger,statement-opinion,不请我就算了
28,28_272,28_272_001,张伟,male,young,low,low,low,high,high,home,0_0,0_0,negative,fear,statement-opinion,中国人平辈之间讲究礼尚往来
31,31_072,31_072_013,赵海棠,male,young,low,high,high,high,high,restaurant,431_78,510_175,negative,sadness,statement-non-opinion,没想到让她这么为难
37,37_088,37_088_007,刘星,male,teenager,high,high,high,high,low,home,262_43,432_251,negative,negative-other,irony,谁会嫌分多呀
29,29_057,29_057_007,关谷神奇,male,young,high,low,high,high,high,entertainment-venue,0_0,0_0,negative,astonished,statement-non-opinion,汗血宝马
27,27_186,27_186_007,吕子乔,male,young,low,high,high,high,low,home,222_13,458_292,negative,anger,statement-opinion,你约关谷 你跟关谷约会了
34,34_353,34_353_008,魏山山,female,young,low,low,high,high,high,outdoor,0_0,0_0,negative,anger,statement-non-opinion,他是一个单身父亲
35,35_139,35_139_000,刘星,male,teenager,high,high,high,high,low,home,240_151,241_152,negative,depress,command,你快点
27,27_203,27_203_002,曾小贤,male,young,high,high,low,high,low,entertainment-venue,0_0,0_0,negative,anger,question,那之前那些呢
31,31_223,31_223_001,张伟,male,young,low,low,low,high,high,entertainment-venue,0_0,0_0,negative,negative-other,statement-non-opinion,大力你开玩笑的吧
37,37_021,37_021_013,刘星,male,teenager,high,high,high,high,low,home,331_42,489_252,negative,anger,statement-opinion,我随您五音不全唱歌跑调
34,34_301,34_301_002,邓小可母亲,female,elderly,high,high,low,high,high,home,249_38,343_149,negative,anger,statement-non-opinion,要不脑子乱
29,29_041,29_041_008,胡一菲,female,young,low,high,low,low,high,home,0_0,0_0,negative,anger,statement-non-opinion,白痴 当然不是了
35,35_186,35_186_005,胡一统,male,middle-aged,high,high,low,low,low,home,295_17,470_206,negative,anger,statement-opinion,你这可是侵犯我肖像权
36,36_154,36_154_011,刘梅,female,middle-aged,high,high,low,high,high,home,307_21,515_242,negative,negative-other,statement-non-opinion,我告诉你听力视力身体全完了
29,29_366,29_366_004,关谷神奇,male,young,high,low,high,high,high,outdoor,417_75,571_213,negative,depress,statement-non-opinion,我说了这是鬼故事
37,37_225,37_225_006,刘梅,female,middle-aged,high,high,low,high,high,home,312_48,509_321,negative,anger,statement-opinion,他们都还没有发育成熟
30,30_115,30_115_008,陆展博,male,young,high,low,high,high,high,home,389_35,520_203,negative,depress,statement-non-opinion,宛瑜有了新的生活
27,27_268,27_268_000,林宛瑜,female,young,low,high,high,high,high,entertainment-venue,0_0,0_0,negative,worried,question,什么夏威夷
35,35_090,35_090_007,胡一统,male,middle-aged,high,high,low,low,low,home,397_40,555_224,negative,negative-other,question,我以前很野蛮了
36,36_094,36_094_010,夏东海,male,middle-aged,low,high,high,high,high,home,302_44,420_229,negative,negative-other,statement-opinion,并不是什么魔石
30,30_177,30_177_005,胡一菲,female,young,low,high,low,low,high,home,172_49,227_123,negative,fear,statement-non-opinion,诺澜给你发了条微信
27,27_416,27_416_003,陈美嘉,female,young,high,high,low,high,low,home,87_85,198_214,negative,depress,statement-non-opinion,我们只能看杂志了
34,34_353,34_353_013,刘旭刚,male,young,high,high,low,low,high,outdoor,0_0,0_0,negative,anger,other,山山
27,27_023,27_023_004,胡一菲,female,young,low,high,low,low,high,home,0_0,0_0,negative,astonished,question,电视上
37,37_208,37_208_003,刘梅,female,middle-aged,high,high,low,high,high,home,0_0,0_0,negative,anger,statement-non-opinion,人家今天女主人在家里要接待贵宾
34,34_356,34_356_001,邓小可,female,young,low,high,high,high,high,home,16_17,212_263,negative,negative-other,statement-non-opinion,人在外边呆着呢 您能不闹吗
28,28_243,28_243_000,曾小贤,male,young,high,high,low,high,low,home,449_29,629_274,negative,disgust,statement-opinion,什么不三不四的女人就往家里带他
30,30_038,30_038_011,胡一菲,female,young,low,high,low,low,high,school,284_28,402_214,negative,anger,question,还挂科难
28,28_187,28_187_006,吕子乔,male,young,low,high,high,high,low,restaurant,200_29,428_324,negative,worried,statement-opinion,让我一个人安静一会
28,28_183,28_183_013,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,outdoor,0_0,0_0,negative,negative-other,question,普通人能这么随便这么大方的捐赠
29,29_257,29_257_000,林宛瑜,female,young,low,high,high,high,high,restaurant,350_129,543_330,negative,depress,statement-non-opinion,看清楚 那是厕所
27,27_167,27_167_000,曾小贤,male,young,high,high,low,high,low,home,190_26,620_424,negative,astonished,interjection,天哪
28,28_186,28_186_002,张伟,male,young,low,low,low,high,high,entertainment-venue,186_21,371_260,negative,worried,statement-non-opinion,而且骗了她很久
34,34_126,34_126_007,邓小可母亲,female,elderly,high,high,low,high,high,home,246_77,403_262,negative,fear,statement-non-opinion,我 我知道这事我做得真是不合适
30,30_144,30_144_004,吕子乔,male,young,low,high,high,high,low,other-venue,496_53,542_119,negative,fear,statement-non-opinion,你在产房
34,34_256,34_256_006,邓小可母亲,female,elderly,high,high,low,high,high,home,0_0,0_0,negative,anger,question,你上哪去了
37,37_037,37_037_008,刘梅,female,middle-aged,high,high,low,high,high,home,326_46,532_274,negative,anger,question,什么一会儿不卖一会儿卖了他
34,34_062,34_062_003,邓小可,female,young,low,high,high,high,high,other-venue,320_117,457_272,negative,worried,statement-non-opinion,我是学机电的
27,27_016,27_016_011,胡一菲,female,young,low,high,low,low,high,home,0_0,0_0,negative,negative-other,statement-opinion,我只是觉得你的那套不是很合适这场婚礼
29,29_362,29_362_007,关谷神奇,male,young,high,low,high,high,high,outdoor,433_25,593_162,negative,depress,statement-non-opinion,你已经抓了3只蝴蝶
29,29_143,29_143_001,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,school,604_0,812_159,negative,sadness,statement-non-opinion,我真的不想活了
27,27_013,27_013_019,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,186_84,278_152,negative,anger,statement-opinion,你这个流氓 再捣乱我就喊人了
27,27_212,27_212_001,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,office,211_46,337_176,negative,disgust,statement-non-opinion,不放心这个不放心
27,27_323,27_323_015,吕子乔,male,young,low,high,high,high,low,home,267_17,519_320,negative,depress,statement-opinion,是应该把你脑袋一起换掉
35,35_167,35_167_010,夏东海,male,middle-aged,low,high,high,high,high,home,241_23,436_196,negative,anger,statement-opinion,你就在这瞎狡辩
37,37_010,37_010_011,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,139_87,320_321,negative,disgust,statement-non-opinion,没见过什么世面
31,31_048,31_048_005,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,other-venue,324_85,375_145,negative,depress,statement-opinion,有这些钱 我还不如去做一点公益慈善
37,37_188,37_188_001,刘星,male,teenager,high,high,high,high,low,home,345_48,517_291,negative,anger,statement-non-opinion,还说铁哥们都这时候了
29,29_026,29_026_002,曾小贤,male,young,high,high,low,high,low,other-venue,228_34,360_174,negative,anger,statement-non-opinion,反正从制片到导播没有一个人愿意拍
36,36_095,36_095_002,夏东海,male,middle-aged,low,high,high,high,high,home,216_30,409_225,negative,depress,statement-non-opinion,我也没想到你考语文考了个高分
34,34_215,34_215_002,向飞,male,middle-aged,low,low,low,high,high,car,383_65,526_288,negative,sadness,statement-non-opinion,两年前离婚之后
36,36_127,36_127_001,刘星,male,teenager,high,high,high,high,low,home,252_59,413_244,negative,fear,statement-opinion,献爱心用
37,37_183,37_183_009,夏雨,male,teenager,high,low,high,high,low,home,273_28,432_257,negative,negative-other,statement-opinion,一点都不费力气
28,28_288,28_288_004,秦羽墨,female,young,high,high,high,high,high,home,190_38,376_293,negative,fear,statement-opinion,我个我可不在行
34,34_102,34_102_003,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,office,258_78,416_280,negative,anger,question,我能反悔啊
28,28_195,28_195_000,唐悠悠,female,young,high,high,high,high,high,home,0_0,0_0,negative,depress,statement-opinion,去超市买冰淇淋
28,28_133,28_133_002,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,197_18,408_280,negative,negative-other,statement-non-opinion,打了个嗝
29,29_306,29_306_003,吕子乔,male,young,low,high,high,high,low,hospital,209_7,437_249,negative,astonished,question,不是道具
27,27_082,27_082_005,吕子乔,male,young,low,high,high,high,low,home,268_56,410_224,negative,depress,statement-opinion,事情怎么会演变成这样
30,30_151,30_151_006,诺澜,female,young,low,low,high,high,high,office,0_0,0_0,negative,sadness,statement-opinion,说心里话和你在一起很开心
30,30_178,30_178_009,胡一菲,female,young,low,high,low,low,high,home,254_31,371_170,negative,anger,statement-non-opinion,急不可耐
34,34_279,34_279_004,沈画,female,young,high,high,low,high,high,home,0_0,0_0,negative,negative-other,statement-non-opinion,我差一点就上飞机啦
31,31_138,31_138_011,吕子乔,male,young,low,high,high,high,low,home,397_107,441_150,negative,negative-other,statement-opinion,这种程度的陷阱我搞得定
35,35_161,35_161_001,夏雨,male,teenager,high,low,high,high,low,home,0_0,0_0,negative,anger,answer,准确的说嘛 那是奶牛的
30,30_006,30_006_013,唐悠悠,female,young,high,high,high,high,high,home,431_36,543_195,negative,depress,question,你还真怀疑男生
30,30_230,30_230_009,唐悠悠,female,young,high,high,high,high,high,home,275_30,441_257,negative,worried,statement-non-opinion,可他随便碰到个对手就怂了
29,29_300,29_300_001,胡一菲,female,young,low,high,low,low,high,home,261_104,330_170,negative,negative-other,statement-non-opinion,他们已经把门撬开了
30,30_214,30_214_006,陈美嘉,female,young,high,high,low,high,low,home,302_25,510_255,negative,anger,statement-opinion,推你的粪球去
30,30_180,30_180_008,关谷神奇,male,young,high,low,high,high,high,home,421_72,583_279,negative,depress,statement-non-opinion,其他人不敢随便的参加婚礼的
29,29_070,29_070_001,唐悠悠,female,young,high,high,high,high,high,restaurant,406_54,732_387,negative,astonished,statement-non-opinion,再北就是太平洋了
37,37_121,37_121_002,刘星,male,teenager,high,high,high,high,low,outdoor,394_35,493_139,negative,worried,statement-opinion,是我失眠
27,27_426,27_426_001,吕子乔,male,young,low,high,high,high,low,home,467_39,710_308,negative,depress,statement-opinion,其实我真没他电话
27,27_454,27_454_005,吕子乔,male,young,low,high,high,high,low,home,201_34,386_229,negative,anger,statement-opinion,她开卡车啊她
31,31_051,31_051_003,张伟,male,young,low,low,low,high,high,outdoor,340_177,384_227,negative,astonished,statement-opinion,他们那些绝对是假的
29,29_427,29_427_005,胡一菲,female,young,low,high,low,low,high,home,151_20,397_239,negative,negative-other,statement-non-opinion,你连名字都不知道
29,29_327,29_327_002,关谷神奇,male,young,high,low,high,high,high,car,120_120,321_305,negative,depress,statement-non-opinion,我自己闻得都要吐了
28,28_188,28_188_019,秦羽墨,female,young,high,high,high,high,high,restaurant,0_0,0_0,negative,depress,question,那结果呢
28,28_181,28_181_014,吕子乔,male,young,low,high,high,high,low,home,176_18,396_308,negative,worried,statement-opinion,让你对他彻底死心
27,27_084,27_084_011,曾小贤,male,young,high,high,low,high,low,home,448_47,570_165,negative,anger,statement-non-opinion,这是消毒面巾纸
36,36_120,36_120_008,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,274_56,445_227,negative,worried,question,我该怎么说
29,29_323,29_323_002,关谷神奇,male,young,high,low,high,high,high,home,230_136,428_344,negative,depress,statement-non-opinion,我要挂急诊
27,27_110,27_110_006,丽萨,female,young,low,low,low,low,high,office,173_27,383_250,negative,negative-other,statement-non-opinion,快到年底总评的时候
30,30_053,30_053_010,曾小贤,male,young,high,high,low,high,low,other-venue,0_0,0_0,negative,depress,statement-non-opinion,这个略长
29,29_067,29_067_005,唐悠悠,female,young,high,high,high,high,high,restaurant,385_35,573_271,negative,negative-other,statement-non-opinion,其实你现在知道还不算太晚
31,31_049,31_049_000,吕子乔,male,young,low,high,high,high,low,other-venue,271_99,340_192,negative,negative-other,statement-non-opinion,晕过去了
30,30_097,30_097_004,吕子乔,male,young,low,high,high,high,low,home,0_0,0_0,negative,worried,other,美嘉
35,35_172,35_172_003,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,83_6,146_60,negative,negative-other,question,这么跟姥姥说话是吧
30,30_160,30_160_002,关谷神奇,male,young,high,low,high,high,high,home,0_0,0_0,negative,depress,statement-non-opinion,我们已经偷听了别人的隐私
31,31_118,31_118_002,陈美嘉,female,young,high,high,low,high,low,home,427_115,486_185,negative,astonished,question,你怎么回来了
37,37_041,37_041_001,夏东海,male,middle-aged,low,high,high,high,high,home,532_163,642_290,negative,astonished,statement-non-opinion,你快吓死我了
37,37_067,37_067_005,刘梅,female,middle-aged,high,high,low,high,high,home,494_55,584_168,negative,depress,question,还是根本你就是主谋
37,37_021,37_021_018,刘梅,female,middle-aged,high,high,low,high,high,home,194_69,316_220,negative,anger,statement-opinion,我正式通知你这事就这么定了
29,29_402,29_402_004,陆展博,male,young,high,low,high,high,high,home,229_25,379_185,negative,negative-other,statement-non-opinion,没有 她让你死心
27,27_371,27_371_013,陈美嘉,female,young,high,high,low,high,low,home,216_126,354_264,negative,fear,question,不都是变成奥特曼
27,27_339,27_339_011,陆展博,female,young,high,low,high,high,high,home,339_36,563_312,negative,negative-other,statement-opinion,他会是一个什么样的心情
27,27_070,27_070_008,关谷神奇,male,young,high,low,high,high,high,home,263_31,503_356,negative,astonished,question,为什么北极熊冻死了
35,35_159,35_159_000,刘梅,female,middle-aged,high,high,low,high,high,home,0_0,0_0,negative,negative-other,question,奶喝了吗
29,29_254,29_254_002,林宛瑜,female,young,low,high,high,high,high,restaurant,404_46,635_299,negative,negative-other,statement-non-opinion,我们今天别再讨论这个话题了
35,35_230,35_230_012,夏东海,male,middle-aged,low,high,high,high,high,home,301_53,486_253,negative,negative-other,question,是不是
36,36_134,36_134_002,刘梅,female,middle-aged,high,high,low,high,high,home,193_21,367_214,negative,negative-other,question,又玩游戏机了是吧
29,29_057,29_057_000,吕子乔,male,young,low,high,high,high,low,entertainment-venue,0_0,0_0,negative,negative-other,other,关谷
29,29_362,29_362_008,关谷神奇,male,young,high,low,high,high,high,outdoor,0_0,0_0,negative,depress,statement-non-opinion,5只青蛙和2只螳螂了
34,34_125,34_125_000,邓文宣,male,elderly,low,low,high,high,high,home,0_0,0_0,negative,astonished,question,等等等等 你查我电话
28,28_251,28_251_006,唐悠悠,female,young,high,high,high,high,high,entertainment-venue,170_41,356_267,negative,sadness,statement-non-opinion,你却不知道
34,34_295,34_295_012,邓小可母亲,female,elderly,high,high,low,high,high,home,501_92,632_269,negative,anger,statement-non-opinion,我告诉你邓小可 你就在这编吧
35,35_232,35_232_000,夏东海,male,middle-aged,low,high,high,high,high,home,0_0,0_0,negative,negative-other,answer,我是说你我 
35,35_018,35_018_013,夏东海,male,middle-aged,low,high,high,high,high,home,298_44,492_256,negative,depress,statement-opinion,我是说你 你不应该交男朋友
37,37_032,37_032_009,刘梅,female,middle-aged,high,high,low,high,high,home,333_36,505_262,negative,depress,statement-opinion,我俩翻脸不认账
29,29_041,29_041_002,胡一菲,female,young,low,high,low,low,high,home,0_0,0_0,negative,astonished,statement-non-opinion,而且也是个画家
35,35_038,35_038_004,刘星,male,teenager,high,high,high,high,low,home,0_0,0_0,negative,depress,statement-opinion,您这是喜新厌旧
37,37_137,37_137_007,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,280_47,461_285,negative,negative-other,statement-opinion,为了孩子的健康
29,29_321,29_321_003,关谷神奇,male,young,high,low,high,high,high,home,221_204,384_359,negative,anger,statement-non-opinion,那彪老板的咖啡
37,37_036,37_036_013,刘梅,female,middle-aged,high,high,low,high,high,home,303_75,480_308,negative,anger,question,怎么了就摆这么长时间
27,27_340,27_340_008,陆展博,female,young,high,low,high,high,high,home,307_24,558_296,negative,negative-other,statement-opinion,没有冬季恋歌
27,27_250,27_250_004,胡一菲,female,young,low,high,low,low,high,home,440_47,613_264,negative,anger,statement-opinion,天下之大都大
35,35_152,35_152_005,夏东海,male,middle-aged,low,high,high,high,high,home,226_23,417_248,negative,negative-other,statement-non-opinion,他碰见了
29,29_400,29_400_008,陆展博,male,young,high,low,high,high,high,home,244_14,357_152,negative,negative-other,other,你很忙
